cell line	organism	organism part	disease	age	developmental stage	sex	ancestry category	synonyms
SF539	Homo sapiens	embryonic central brain glia	gliosarcoma; central nervous system cancer; glioma	not available	not available	not available	not available	not available
SK-MEL-28	Homo sapiens	skin	cutaneous melanoma; melanoma	51 year	not available	male	not available	not available
SK-MEL-2	Homo sapiens	skin	metastatic melanoma; melanoma	60 year	not available	male	not available	not available
SK-MEL-5	Homo sapiens	skin	cutaneous melanoma; melanoma	not available	not available	not available	not available	not available
SKOV3	Homo sapiens	ovary	ovarian serous cystadenocarcinoma; ovarian cancer; ovarian adenocarcinoma				not available
SN12C	Homo sapiens	renal glomerulus	renal cell carcinoma; renal cancer	not available	not available	male	not available	not available
SNB19	Homo sapiens	central nervous system	astrocytoma; central nervous system cancer	not available	not available	not available	not available	not available
SNB-75	Homo sapiens	embryonic central brain glia	glioblastoma multiforme	not available	not available	not available	not available	not available
SR	Homo sapiens	blood component	anaplastic large cell lymphoma; leukemia; large cell immunoblastic lymphoma; immunoblastic large cell lymphoma	11 year	not available	male	not available	not available
SW620	Homo sapiens	colorectum	colorectal adenocarcinoma; colon adenocarcinoma; colorectal cancer	not available	not available	male	not available	not available
T47D	Homo sapiens	pleura; mammary gland	invasive ductal carcinoma; breast cancer; ductal carcinoma				not available
TK-10	Homo sapiens	renal glomerulus	clear cell renal carcinoma; renal carcinoma	46 year	not available	male	not available	not available
U-251 MG	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
UACC-257	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
UACC-62	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
UO31	Homo sapiens	renal glomerulus	renal cell carcinoma; renal cancer	not available	not available	not available	not available	not available
TE-15	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
OCI-MY5	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
OCI-MY7	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
OCUM-1	Homo sapiens	stomach	signet ring cell gastric adenocarcinoma; gastric adenocarcinoma	38 year	not available	not available	not available	not available
OE19	Homo sapiens	esophagus	esophageal adenocarcinoma; esophageal carcinoma				not available
OE21	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
OE33	Homo sapiens	esophagus	Barrett adenocarcinoma	not available	not available	not available	not available	not available
OELE	Homo sapiens	ovary	normal cell line	not available	not available	not available	not available	not available
ONCO-DG-1	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma	not available	not available	not available	not available	not available
MES-SA	Homo sapiens	soft tissue	uterine sarcoma	not available	not available	not available	not available	not available
MEL-JUSO	Homo sapiens	skin	cutaneous melanoma	not available	not available	not available	not available	not available
MEL-HO	Homo sapiens	skin	melanoma	not available	not available	female	not available	not available
MEG-01	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	not available	not available	not available	not available	not available
MFE-319	Homo sapiens	endometrium	endometrial adenosquamous carcinoma	not available	not available	not available	not available	not available
MFE-296	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
MFE-280	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
MeWo	Homo sapiens	skin	melanoma	78 year	not available	male	not available	not available
MHH-CALL-2	Homo sapiens	hematopoietic system and lymphoid system	childhood B acute lymphoblastic leukemia	not available	not available	not available	not available	not available
MG-63	Homo sapiens	bone	osteosarcoma	14 year; 14	juvenile	male	not available
Panc 02.13	Homo sapiens	pancreas	pancreatic adenocarcinoma	not available	not available	not available	not available	not available
OCI-AML3	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute myeloid leukemia	not available	not available	not available	not available	not available
OAW28	Homo sapiens	ovary	high grade ovarian serous adenocarcinoma; ovarian serous cystadenocarcinoma	not available	not available	female	not available	not available
NUGC-4	Homo sapiens	stomach	signet ring cell gastric adenocarcinoma; gastric adenocarcinoma	35 year	not available	female	not available	not available
SW 1271	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
Capan-2	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	56 year	not available	male	not available	not available
Capan-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	40 year	not available	male	not available	not available
CCF-STTG1	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
CAS-1	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
CFPAC-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma	not available	not available	male	not available	not available
CCK-81	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	not available	not available	not available	not available	not available
NCI-H2073	Homo sapiens	lung	lung adenocarcinoma	47 year	not available	female	not available	not available
NCI-H2066	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H2052	Homo sapiens	pleura; lung	malignant epithelioid mesothelioma; mesothelioma	not available		not available	not available
NCI-H2030	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung carcinoma	not available	not available	male	not available	not available
NCI-H2029	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
NCI-H2023	Homo sapiens	lung	non-small cell lung carcinoma	26	not available	male	not available	not available
NCI-H2009	Homo sapiens	lung	lung adenocarcinoma	68 year		not available	not available
NCI-H2004RT	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	not available	not available	not available	not available	not available
NCI-H1975	Homo sapiens	lung	lung adenocarcinoma; non-small cell lung adenocarcinoma	not available		female	not available
NCI-H196	Homo sapiens	lung	small cell lung carcinoma	68 year	not available	male	not available	not available
OCI-M1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia; acute myeloid leukemia	not available	not available	not available	not available	not available
OCI-LY3	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma	not available	not available	not available	not available	not available
CAL-51	Homo sapiens	breast	breast carcinoma	not available	not available	not available	not available	not available
CAL-33	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
CAL-29	Homo sapiens	urinary tract	bladder transitional cell carcinoma	not available	not available	not available	not available	not available
CAL-27	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
CAL-148	Homo sapiens	breast	breast adenocarcinoma	58 year	not available	female	not available	not available
CAL-12T	Homo sapiens	lung	non-small cell lung carcinoma	not available	not available	male	not available	not available
CAL-120	Homo sapiens	breast	breast adenocarcinoma	43 year	not available	female	not available	not available
Caki-2	Homo sapiens	kidney	papillary renal cell carcinoma; renal carcinoma	69 year	not available	male	not available	not available
Caki-1	Homo sapiens	kidney	clear cell renal carcinoma; renal clear cell adenocarcinoma	49 year	not available	male	not available	not available
CADO-ES1	Homo sapiens	bone	Ewing sarcoma	not available	not available	not available	not available	not available
EC-GI-10	Homo sapiens	esophagus	esophageal squamous cell carcinoma	not available	not available	not available	not available	not available
HEC-1-A	Homo sapiens	endometrium	endometrium adenocarcinoma; uterine adenocarcinoma	71 year	not available	female	not available	not available
HEC-151	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
HEC-108	Homo sapiens	endometrium	endometrium adenocarcinoma	not available	not available	not available	not available	not available
HDQ-P1	Homo sapiens	breast	breast carcinoma	not available	not available	not available	not available	not available
HD-MY-Z	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	not available	not available	not available	not available	not available
HDLM-2	Homo sapiens	hematopoietic system and lymphoid system	Hodgkins lymphoma	not available	not available	male	not available	not available
HCT-15	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	not available	not available	male	not available	not available
HCT 116	Homo sapiens	large intestine; colon	colon carcinoma; colorectal carcinoma	not available; 48	adult	male	not available
HCC-95	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
HCC827	Homo sapiens	lung	lung adenocarcinoma	not available	not available	female	not available	not available
EJM	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	58 year	not available	female	not available	not available
EFO-27	Homo sapiens	ovary	ovarian mucinous adenocarcinoma; ovarian adenocarcinoma	36 year	not available	female	not available	not available
EHEB	Homo sapiens	hematopoietic system and lymphoid system	chronic lymphocytic leukemia	not available	not available	not available	not available	not available
EFM-19	Homo sapiens	breast	breast ductal adenocarcinoma; breast carcinoma	50 year	not available	female	not available	not available
EFO-21	Homo sapiens	ovary	ovarian cystadenocarcinoma	not available	not available	not available	not available	not available
EFE-184	Homo sapiens	endometrium	endometrial carcinoma	not available	not available	not available	not available	not available
EFM-192A	Homo sapiens	breast	breast carcinoma; breast adenocarcinoma	46 year	not available	female	not available	not available
EM-2	Homo sapiens	hematopoietic system and lymphoid system	chronic myelogenous leukemia	not available	not available	female	not available	not available
EN	Homo sapiens	endometrium	endometrial carcinoma	not available	not available	not available	not available	not available
PK-45H	Homo sapiens	pancreas	pancreatic carcinoma	not available	not available	not available	not available	not available
PK-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma	not available	not available	not available	not available	not available
DU4475	Homo sapiens	breast	breast carcinoma	70 year	not available	female; not available	not available	not available
PE/CA-PJ41 (clone D2)	Homo sapiens	upper digestive tract	oral squamous cell carcinoma	not available	not available	not available	not available	not available
PE/CA-PJ34 (clone C12)	Homo sapiens	upper digestive tract	basaloid squamous cell carcinoma	not available	not available	not available	not available	not available
PC-9	Homo sapiens	lung	lung adenocarcinoma		adult		not available
Pfeiffer	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; Hodgkin's lymphoma	not available	not available	not available	not available	not available
PF-382	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
PEER	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
PE/CA-PJ49	Homo sapiens	upper digestive tract	tongue squamous cell carcinoma	not available	not available	not available	not available	not available
SNU-308	Homo sapiens	biliary system	gallbladder carcinoma	not available	not available	not available	not available	not available
SNU-283	Homo sapiens	large intestine	rectal adenocarcinoma; colorectal adenocarcinoma	not available	not available	female	not available	not available
SNU-245	Homo sapiens	biliary system	cholangiocarcinoma	not available	not available	not available	not available	not available
SNU-216	Homo sapiens	stomach	gastric tubular adenocarcinoma; gastric carcinoma	46 year	not available	female	not available	not available
SNU-398	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
SNU-387	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
SNU-349	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
SNU-324	Homo sapiens	pancreas	pancreatic adenocarcinoma	not available	not available	not available	not available	not available
NALM-1	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	not available	not available	not available	not available	not available
CAL-54	Homo sapiens	kidney	renal cell adenocarcinoma	not available	not available	not available	not available	not available
SNU-410	Homo sapiens	pancreas	pancreatic adenocarcinoma	not available	not available	not available	not available	not available
SNU-407	Homo sapiens	large intestine	colon adenocarcinoma; colorectal adenocarcinoma	not available	not available	male	not available	not available
NALM-19	Homo sapiens	hematopoietic system and lymphoid system	B-cell acute lymphoblastic leukemia	not available	not available	not available	not available	not available
Hs 751.T	Homo sapiens	fibroblast	Hodgkins lymphoma	not available	not available	not available	not available	not available
Hs 766T	Homo sapiens	pancreas	pancreatic adenocarcinoma; pancreatic carcinoma	46 year	not available	male	not available	not available
Hs 742.T	Homo sapiens	fibroblast	breast carcinoma	not available	not available	not available	not available	not available
Hs 746T	Homo sapiens	stomach	gastric adenocarcinoma; gastric carcinoma	not available	not available	not available	not available	not available
Hs 822.T	Homo sapiens	fibroblast	Ewing sarcoma	not available	not available	not available	not available	not available
Hs 834.T	Homo sapiens	fibroblast	melanoma	not available	not available	not available	not available	not available
Hs 819.T	Homo sapiens	fibroblast	chondrosarcoma	not available	not available	not available	not available	not available
Hs 821.T	Homo sapiens	fibroblast	bone giant cell tumor	not available	not available	not available	not available	not available
Hs 839.T	Homo sapiens	fibroblast	melanoma	42 year	not available	female	not available	not available
Hs 840.T	Homo sapiens	fibroblast	squamous papilloma	not available	not available	not available	not available	not available
NCI-H1105	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
SF767	Homo sapiens	cervix	cervical squamous cell carcinoma	not available	not available	not available	not available	not available
NCI-H1092	Homo sapiens	lung	small cell lung carcinoma	67 year	not available	male	not available	not available
UOK101	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
UO-31	Homo sapiens	kidney	renal cell carcinoma	not available	not available	not available	not available	not available
UM-UC-3	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	not available	not available	male	not available	not available
UM-UC-1	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	not available	not available	not available	not available	not available
U-BLC1	Homo sapiens	urinary tract	bladder carcinoma	not available	not available	not available	not available	not available
UACC-893	Homo sapiens	breast	invasive ductal carcinoma; breast ductal adenocarcinoma	57 year	not available	female	not available	not available
UACC-812	Homo sapiens	breast	invasive ductal carcinoma; ductal carcinoma; breast ductal adenocarcinoma	43 year	not available	female	not available	not available
NCI-H1048	Homo sapiens	lung	small cell lung carcinoma	not available	not available	female	not available	not available
NCC-StC-K140	Homo sapiens	stomach	gastric carcinoma	not available	not available	not available	not available	not available
NB-4	Homo sapiens	hematopoietic system and lymphoid system	acute promyelocytic leukemia	not available	not available	not available	not available	not available
NB-1	Homo sapiens	autonomic ganglion	neuroblastoma	not available	not available	not available	not available	not available
NAMALWA	Homo sapiens	hematopoietic system and lymphoid system; blood	Epstein-Barr virus-related Burkitt lymphoma; malignant Burkitt's lymphoma; Burkitts lymphoma	not available; 3		not available; female	not available
NALM-6	Homo sapiens	hematopoietic system and lymphoid system	adult B acute lymphoblastic leukemia; leukemia	not available	not available	not available	not available	not available
KMS-26	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
KMS-27	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	52 year	not available	male	not available	not available
KMS-20	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
KMS-21BM	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	62 year	not available	male	not available	not available
KMS-12-BM	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	64 year	not available	female	not available	not available
KMS-18	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
KMRC-3	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
KMS-11	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	not available	not available	not available	not available	not available
KMRC-20	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
KMRC-2	Homo sapiens	kidney	clear cell renal carcinoma	not available	not available	not available	not available	not available
KELLY	Homo sapiens	autonomic ganglion	neuroblastoma	not available	not available	not available	not available	not available
KE-97	Homo sapiens	hematopoietic system and lymphoid system	mucinous gastric adenocarcinoma	not available	not available	not available	not available	not available
PA-TU-8988T	Homo sapiens	pancreas	pancreatic adenocarcinoma	64 year	not available	female	not available	not available
KASUMI-2	Homo sapiens	hematopoietic system and lymphoid system	B-cell acute lymphoblastic leukemia	not available	not available	not available	not available	not available
KASUMI-1	Homo sapiens	hematopoietic system and lymphoid system	childhood acute myeloid leukemia with maturation	not available	not available	not available	not available	not available
KATO III	Homo sapiens	stomach	signet ring cell gastric adenocarcinoma; gastric carcinoma	not available	not available	not available	not available	not available
Kasumi-6	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	not available	not available	not available	not available	not available
KD [Human abdomen rhabdoid tumor]	Homo sapiens	soft tissue	malignant rhabdoid tumour	not available	not available	not available	not available	not available
KCL-22	Homo sapiens	hematopoietic system and lymphoid system	blast phase chronic myelogenous leukemia, BCR-ABL1 positive	not available	not available	not available	not available	not available
KE-39	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	not available	not available	not available
KE-37	Homo sapiens	hematopoietic system and lymphoid system	adult T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
SU-DHL-5	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse large B cell lymphoma; B-cell lymphoma	17 year	not available	female	not available	not available
SU-DHL-6	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse large B cell lymphoma; lymphoma	not available	not available	male; not available	not available	not available
Panc 05.04	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	77 year	not available	female	not available	not available
Panc 08.13	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	85 year	not available	male	not available	not available
SR-786	Homo sapiens	hematopoietic system and lymphoid system	anaplastic large cell lymphoma	not available	not available	not available	not available	not available
ST486	Homo sapiens	hematopoietic system and lymphoid system	Burkitts lymphoma	not available	not available	female	not available	not available
STM91-01	Homo sapiens	soft tissue	rhabdoid tumor of the kidney	not available	not available	not available	not available	not available
SU.86.86	Homo sapiens	pancreas	pancreatic adenocarcinoma; pancreatic ductal adenocarcinoma	57 year	not available	female	not available	not available
SU-DHL-10	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; diffuse large B cell lymphoma; pleural B-cell lymphoma	not available	not available	male	not available	not available
Panc 10.05	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma	not available	not available	not available	not available	not available
SU-DHL-4	Homo sapiens	hematopoietic system and lymphoid system	diffuse large B-cell lymphoma; B-cell lymphoma	38 year	not available	male	not available	not available
GSS	Homo sapiens	stomach	gastric carcinoma	not available	not available	not available	not available	not available
GRANTA-519	Homo sapiens	hematopoietic system and lymphoid system	Mantle cell lymphoma; B-cell lymphoma	58 year	not available	female	not available	not available
GP2d	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	not available	not available	not available
GOS-3	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
GMS-10	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
GI-1	Homo sapiens	central nervous system	gliosarcoma	not available	not available	not available	not available	not available
GDM-1	Homo sapiens	hematopoietic system and lymphoid system	adult acute myeloid leukemia	not available	not available	not available	not available	not available
GCT	Homo sapiens	soft tissue	unclassified pleomorphic sarcoma	not available	not available	not available	not available	not available
Li-7	Homo sapiens	liver	hepatocellular carcinoma	not available	not available	not available	not available	not available
H4	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
GSU	Homo sapiens	stomach	gastric carcinoma	not available	not available	not available	not available	not available
TE-8	Homo sapiens	esophagus	esophageal squamous cell carcinoma; esophageal carcinoma	not available	not available	male	not available	not available
KYM-1	Homo sapiens	soft tissue	alveolar rhabdomyosarcoma	not available	not available	not available	not available	not available
LS513	Homo sapiens	large intestine	cecum adenocarcinoma	not available	not available	not available	not available	not available
LS411N	Homo sapiens	large intestine	cecum adenocarcinoma	not available	not available	not available	not available	not available
LU99	Homo sapiens	lung	lung giant cell carcinoma	not available	not available	not available	not available	not available
LU65	Homo sapiens	lung	lung giant cell carcinoma	not available	not available	not available	not available	not available
LS1034	Homo sapiens	large intestine	cecum adenocarcinoma; cecum carcinoma	54 year	not available	not available	not available	not available
LP-1	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma	56 year	not available	female	not available	not available
LS 180	Homo sapiens	large intestine	colon adenocarcinoma	58 year	not available	female	not available	not available
LS123	Homo sapiens	large intestine	colon adenocarcinoma	not available	not available	not available	not available	not available
LN-319	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
LXF-289	Homo sapiens	lung	lung adenocarcinoma	63 year	not available	male	not available	not available
LUDLU-1	Homo sapiens	lung	squamous cell lung carcinoma	not available	not available	not available	not available	not available
LN-308	Homo sapiens	central nervous system	astrocytoma	not available	not available	not available	not available	not available
AGS	Homo sapiens	stomach	gastric adenocarcinoma	not available	not available	not available	not available	not available
ACC-MESO-1	Homo sapiens	pleura	mesothelioma	not available	not available	not available	not available	not available
ABC-1	Homo sapiens	lung	lung adenocarcinoma	not available	not available	not available	not available	not available
AMO-1	Homo sapiens	hematopoietic system and lymphoid system	multiple myeloma; plasmacytoma	not available	not available	not available	not available	not available
AML-193	Homo sapiens	hematopoietic system and lymphoid system	childhood acute myeloid leukemia	not available	not available	not available	not available	not available
AM-38	Homo sapiens	central nervous system	glioblastoma	not available	not available	not available	not available	not available
ALL-SIL	Homo sapiens	hematopoietic system and lymphoid system	childhood T acute lymphoblastic leukemia	not available	not available	not available	not available	not available
AsPC-1	Homo sapiens	pancreas	pancreatic ductal adenocarcinoma; pancreatic adenocarcinoma	62 year; 62	adult	female	not available
AN3 CA	Homo sapiens	endometrium	endometrium adenocarcinoma; uterine adenocarcinoma	55 year	not available	female	not available	not available
Hs 294T	Homo sapiens	skin	melanoma	not available	not available	not available	not available	not available
Hs 281.T	Homo sapiens	fibroblast	breast carcinoma	not available	not available	not available	not available	not available
Hs 274.T	Homo sapiens	fibroblast	breast adenocarcinoma	not available	not available	not available	not available	not available
Hs 255.T	Homo sapiens	fibroblast	colorectal carcinoma; colon adenocarcinoma	46 year	not available	female	not available	not available
Hs 606.T	Homo sapiens	fibroblast	breast carcinoma	not available	not available	not available	not available	not available
Hs 600.T	Homo sapiens	fibroblast	melanoma	not available	not available	not available	not available	not available
Hs 578T	Homo sapiens	breast	invasive ductal carcinoma; breast carcinoma	74 year	not available	female	not available	not available
Hs 343.T	Homo sapiens	fibroblast	breast carcinoma	not available	not available	not available	not available	not available
COR-L24	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
COR-L279	Homo sapiens	lung	small cell lung carcinoma	63 year	not available	male	not available	not available
Hs 616.T	Homo sapiens	fibroblast	Hodgkins lymphoma	not available	not available	not available	not available	not available
COR-L23	Homo sapiens	lung	large cell lung carcinoma	not available	not available	not available	not available	not available
COR-L88	Homo sapiens	lung	small cell lung carcinoma	55 year	not available	male	not available	not available
COR-L95	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
COR-L311	Homo sapiens	lung	small cell lung carcinoma	not available	not available	not available	not available	not available
COR-L47	Homo sapiens	lung	small cell lung carcinoma	67 year	not available	male	not available	not available
RVH-421	Homo sapiens	skin	metastatic melanoma; melanoma	not available	not available	male	not available	not available
RT4	Homo sapiens	urinary tract	bladder carcinoma; urinary bladder transitional cell carcinoma	63 year	not available	male	not available	not available
