cellosaurus name	cellosaurus accession	bto cell line	organism	age	developmental stage	sex	ancestry category	disease	cell type	sampling site	synonyms
DA00345	CVCL_6K30	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00346	CVCL_6K31	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00347	CVCL_6K32	no available	Homo sapiens	61Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00348	CVCL_6K33	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00349	CVCL_6K34	no available	Homo sapiens	46Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00350	CVCL_6K35	no available	Homo sapiens	22Y	no available	Female	African American	no available	no available	Peripheral blood	no available
DA00351	CVCL_6K36	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00352	CVCL_6K37	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00353	CVCL_6K38	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00354	CVCL_6K39	no available	Homo sapiens	50Y	no available	Male	African American	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00355	CVCL_6K40	no available	Homo sapiens	40Y	no available	Male	African American	no available	no available	Peripheral blood	no available
DA00356	CVCL_6K41	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00357	CVCL_6K42	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00358	CVCL_6K43	no available	Homo sapiens	30Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00359	CVCL_6K44	no available	Homo sapiens	38Y	no available	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00360	CVCL_6K45	no available	Homo sapiens	22Y	no available	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00361	CVCL_6K46	no available	Homo sapiens	49Y	no available	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00362	CVCL_6K47	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00363	CVCL_6K48	no available	Homo sapiens	22Y	no available	Male	African American	no available	no available	Peripheral blood	no available
DA00364	CVCL_6K49	no available	Homo sapiens	49Y	no available	Female	African American	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00365	CVCL_6K50	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00366	CVCL_6K51	no available	Homo sapiens	no available	Age unspecified	Female	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00367	CVCL_6K52	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00368	CVCL_6K53	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00369	CVCL_6K54	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00370	CVCL_6K55	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00371	CVCL_6K56	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00372	CVCL_6K57	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00373	CVCL_6K58	no available	Homo sapiens	no available	Age unspecified	Male	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00374	CVCL_6K59	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00375	CVCL_6K60	no available	Homo sapiens	18Y	no available	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00376	CVCL_6K61	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00377	CVCL_6K62	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00378	CVCL_6K63	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00379	CVCL_6K64	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00380	CVCL_6K65	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00381	CVCL_6K66	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00382	CVCL_6K67	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00383	CVCL_6K68	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00384	CVCL_6K69	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00385	CVCL_6K70	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00386	CVCL_6K71	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00387	CVCL_6K72	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00388	CVCL_6K73	no available	Homo sapiens	no available	Age unspecified	Male	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00389	CVCL_6K74	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00390	CVCL_6K75	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00391	CVCL_6K76	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00392	CVCL_6K77	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00393	CVCL_6K78	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00394	CVCL_6K79	no available	Homo sapiens	74Y	no available	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00395	CVCL_6K80	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00396	CVCL_6K81	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00397	CVCL_6K82	no available	Homo sapiens	63Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00398	CVCL_6K83	no available	Homo sapiens	35Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00399	CVCL_6K84	no available	Homo sapiens	39Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00400	CVCL_6K85	no available	Homo sapiens	30Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00401	CVCL_6K86	no available	Homo sapiens	58Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00402	CVCL_6K87	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00403	CVCL_6K88	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00404	CVCL_6K89	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00405	CVCL_6K90	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00406	CVCL_6K91	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00407	CVCL_6K92	no available	Homo sapiens	no available	Age unspecified	Male	no available	no available	no available	Peripheral blood	no available
DA00408	CVCL_6K93	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00409	CVCL_6K94	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00410	CVCL_6K95	no available	Homo sapiens	81Y	no available	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00411	CVCL_6K96	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00412	CVCL_6K97	no available	Homo sapiens	49Y	no available	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00413	CVCL_6K98	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00414	CVCL_6K99	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00415	CVCL_6L00	no available	Homo sapiens	39Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00416	CVCL_6L01	no available	Homo sapiens	68Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00417	CVCL_6L02	no available	Homo sapiens	57Y	no available	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00418	CVCL_6L03	no available	Homo sapiens	36Y	no available	Female	African American	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00419	CVCL_6L04	no available	Homo sapiens	no available	Age unspecified	Female	African American	no available	no available	Peripheral blood	no available
DA00420	CVCL_6L05	no available	Homo sapiens	33Y	no available	Female	African American	no available	no available	Peripheral blood	no available
DA00421	CVCL_6L06	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00422	CVCL_6L07	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00423	CVCL_6L08	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00424	CVCL_6L09	no available	Homo sapiens	59Y	no available	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00425	CVCL_6L10	no available	Homo sapiens	71Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00426	CVCL_6L11	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00427	CVCL_6L12	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00428	CVCL_6L13	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00429	CVCL_6L14	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00430	CVCL_6L15	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00431	CVCL_6L16	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00432	CVCL_6L17	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00433	CVCL_6L18	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00434	CVCL_6L19	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00435	CVCL_6L20	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00436	CVCL_6L21	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00437	CVCL_6L22	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00438	CVCL_6L23	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00439	CVCL_6L24	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00440	CVCL_6L25	no available	Homo sapiens	22Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00441	CVCL_6L26	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00442	CVCL_6L27	no available	Homo sapiens	51Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00443	CVCL_6L28	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00444	CVCL_6L29	no available	Homo sapiens	75Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00445	CVCL_6L30	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00446	CVCL_6L31	no available	Homo sapiens	21Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00447	CVCL_6L32	no available	Homo sapiens	46Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00448	CVCL_6L33	no available	Homo sapiens	74Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00449	CVCL_6L34	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00450	CVCL_6L35	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00451	CVCL_6L36	no available	Homo sapiens	no available	Age unspecified	Male	African American	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00452	CVCL_6L37	no available	Homo sapiens	73Y	no available	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00453	CVCL_6L38	no available	Homo sapiens	23Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00454	CVCL_6L39	no available	Homo sapiens	62Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00455	CVCL_6L40	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00456	CVCL_6L41	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00457	CVCL_6L42	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00458	CVCL_6L43	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00459	CVCL_6L44	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00460	CVCL_6L45	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00461	CVCL_6L46	no available	Homo sapiens	no available	Age unspecified	Female	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00462	CVCL_6L47	no available	Homo sapiens	no available	Age unspecified	Male	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00463	CVCL_6L48	no available	Homo sapiens	no available	Age unspecified	Male	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00464	CVCL_6L49	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00465	CVCL_6L50	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00466	CVCL_6L51	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00467	CVCL_6L52	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00468	CVCL_6L53	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00470	CVCL_6L54	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00471	CVCL_6L55	no available	Homo sapiens	no available	Age unspecified	Female	African American	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00472	CVCL_6L56	no available	Homo sapiens	no available	Age unspecified	Male	African American	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00473	CVCL_6L57	no available	Homo sapiens	no available	Age unspecified	Female	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00474	CVCL_6L58	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00475	CVCL_6L59	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00476	CVCL_6L60	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00477	CVCL_6L61	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00478	CVCL_6L62	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00479	CVCL_6L63	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00480	CVCL_6L64	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00481	CVCL_6L65	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00482	CVCL_6L66	no available	Homo sapiens	65Y	no available	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00483	CVCL_6L67	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00484	CVCL_6L68	no available	Homo sapiens	21Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00485	CVCL_6L69	no available	Homo sapiens	54Y	no available	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00486	CVCL_6L70	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00487	CVCL_6L71	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00488	CVCL_6L72	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00489	CVCL_6L73	no available	Homo sapiens	59Y	no available	Female	African American	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00490	CVCL_6L74	no available	Homo sapiens	30Y	no available	Female	African American	no available	no available	Peripheral blood	no available
DA00491	CVCL_6L75	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00492	CVCL_6L76	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00493	CVCL_6L77	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00494	CVCL_6L78	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00495	CVCL_6L79	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00496	CVCL_6L80	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00497	CVCL_6L81	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00498	CVCL_6L82	no available	Homo sapiens	24Y	no available	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00499	CVCL_6L83	no available	Homo sapiens	43Y	no available	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00500	CVCL_6L84	no available	Homo sapiens	no available	Age unspecified	Male	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00501	CVCL_6L85	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00502	CVCL_6L86	no available	Homo sapiens	36Y	no available	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00503	CVCL_6L87	no available	Homo sapiens	45Y	no available	Female	Caucasian; Spanish	no available	no available	Peripheral blood	no available
DA00504	CVCL_6L88	no available	Homo sapiens	47Y	no available	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00505	CVCL_6L89	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00506	CVCL_6L90	no available	Homo sapiens	44Y	no available	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00507	CVCL_6L91	no available	Homo sapiens	no available	Age unspecified	Male	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00508	CVCL_6L92	no available	Homo sapiens	no available	Age unspecified	Male	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00509	CVCL_6L93	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00510	CVCL_6L94	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00511	CVCL_6L95	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00512	CVCL_6L96	no available	Homo sapiens	no available	Age unspecified	Male	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00513	CVCL_6L97	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00514	CVCL_6L98	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00515	CVCL_6L99	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00516	CVCL_6M00	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00517	CVCL_6M01	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00518	CVCL_6M02	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00519	CVCL_6M03	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00520	CVCL_6M04	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00521	CVCL_6M05	no available	Homo sapiens	77Y	no available	Male	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00522	CVCL_6M06	no available	Homo sapiens	64Y	no available	Female	no available	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00523	CVCL_6M07	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00524	CVCL_6M08	no available	Homo sapiens	58Y	no available	Female	African American	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00525	CVCL_6M09	no available	Homo sapiens	54Y	no available	Female	African American	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00526	CVCL_6M10	no available	Homo sapiens	no available	Age unspecified	Female	African American	no available	no available	Peripheral blood	no available
DA00527	CVCL_6M11	no available	Homo sapiens	38Y	no available	Female	African American	no available	no available	Peripheral blood	no available
DA00528	CVCL_6M12	no available	Homo sapiens	50Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00529	CVCL_6M13	no available	Homo sapiens	55Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00530	CVCL_6M14	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00531	CVCL_6M15	no available	Homo sapiens	no available	Age unspecified	Male	Asian	no available	no available	Peripheral blood	no available
DA00532	CVCL_6M16	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00533	CVCL_6M17	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00534	CVCL_6M18	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00535	CVCL_6M19	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00536	CVCL_6M20	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00537	CVCL_6M21	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00538	CVCL_6M22	no available	Homo sapiens	no available	Age unspecified	Male	Native North American	no available	no available	Peripheral blood	no available
DA00539	CVCL_6M23	no available	Homo sapiens	83Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00540	CVCL_6M24	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00541	CVCL_6M25	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	no available	no available	Peripheral blood	no available
DA00542	CVCL_6M26	no available	Homo sapiens	no available	Age unspecified	Female	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00543	CVCL_6M27	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
DA00544	CVCL_6M28	no available	Homo sapiens	56Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00545	CVCL_6M29	no available	Homo sapiens	no available	Age unspecified	Male	Asian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00546	CVCL_6M30	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00547	CVCL_6M31	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00548	CVCL_6M32	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00549	CVCL_6M33	no available	Homo sapiens	no available	Age unspecified	Female	Caucasian	no available	no available	Peripheral blood	no available
DA00550	CVCL_6M34	no available	Homo sapiens	no available	Age unspecified	Male	Caucasian	no available	no available	Peripheral blood	no available
DA00551	CVCL_6M35	no available	Homo sapiens	no available	Age unspecified	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00552	CVCL_6M36	no available	Homo sapiens	61Y	no available	Male	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00553	CVCL_6M37	no available	Homo sapiens	no available	Age unspecified	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00554	CVCL_6M38	no available	Homo sapiens	66Y	no available	Female	Latino or Hispanic	Type 2 diabetes mellitus	no available	Peripheral blood	no available
DA00557	CVCL_6M39	no available	Homo sapiens	no available	Age unspecified	Female	Asian	no available	no available	Peripheral blood	no available
